,Country,Rank 2015,Rank 2016,Rank 2017,Rank 2018,Rank 2019,Region
85,Romania,86.0,71.0,57.0,52.0,48.0,Central and Eastern Europe
86,Serbia,87.0,86.0,73.0,78.0,70.0,Central and Eastern Europe
87,Portugal,88.0,94.0,89.0,77.0,66.0,Western Europe
88,Latvia,89.0,68.0,54.0,53.0,53.0,Central and Eastern Europe
89,Philippines,90.0,82.0,72.0,71.0,69.0,Southeastern Asia
90,Somaliland Region,91.0,97.0,,,,Sub-Saharan Africa
91,Morocco,92.0,90.0,84.0,85.0,89.0,Middle East and Northern Africa
92,Macedonia,93.0,95.0,92.0,89.0,84.0,Central and Eastern Europe
93,Mozambique,94.0,,113.0,123.0,123.0,Sub-Saharan Africa
94,Albania,95.0,109.0,109.0,112.0,107.0,Central and Eastern Europe
95,Bosnia and Herzegovina,96.0,87.0,90.0,93.0,78.0,Central and Eastern Europe
96,Lesotho,97.0,,139.0,141.0,144.0,Sub-Saharan Africa
97,Dominican Republic,98.0,89.0,86.0,83.0,77.0,Latin America and Caribbean
98,Laos,99.0,102.0,,110.0,105.0,Southeastern Asia
99,Mongolia,100.0,101.0,100.0,94.0,83.0,Eastern Asia
100,Swaziland,101.0,,,,135.0,Sub-Saharan Africa
101,Greece,102.0,99.0,87.0,79.0,82.0,Western Europe
102,Lebanon,103.0,93.0,88.0,88.0,91.0,Middle East and Northern Africa
103,Hungary,104.0,91.0,75.0,69.0,62.0,Central and Eastern Europe
104,Honduras,105.0,104.0,91.0,72.0,59.0,Latin America and Caribbean
105,Tajikistan,106.0,100.0,96.0,80.0,74.0,Central and Eastern Europe
106,Tunisia,107.0,98.0,102.0,111.0,124.0,Middle East and Northern Africa
107,Palestinian Territories,108.0,108.0,103.0,104.0,110.0,Middle East and Northern Africa
108,Bangladesh,109.0,110.0,110.0,115.0,125.0,Southern Asia
109,Iran,110.0,105.0,108.0,106.0,117.0,Middle East and Northern Africa
110,Ukraine,111.0,123.0,132.0,138.0,133.0,Central and Eastern Europe
111,Iraq,112.0,112.0,117.0,117.0,126.0,Middle East and Northern Africa
112,South Africa,113.0,116.0,101.0,105.0,106.0,Sub-Saharan Africa
113,Ghana,114.0,124.0,131.0,108.0,98.0,Sub-Saharan Africa
114,Zimbabwe,115.0,131.0,138.0,144.0,146.0,Sub-Saharan Africa
115,Liberia,116.0,150.0,148.0,149.0,141.0,Sub-Saharan Africa
116,India,117.0,118.0,122.0,133.0,140.0,Southern Asia
117,Sudan,118.0,133.0,130.0,137.0,,Sub-Saharan Africa
118,Haiti,119.0,136.0,145.0,148.0,147.0,Latin America and Caribbean
119,Congo (Kinshasa),120.0,125.0,126.0,132.0,127.0,Sub-Saharan Africa
120,Nepal,121.0,107.0,99.0,101.0,100.0,Southern Asia
121,Ethiopia,122.0,115.0,119.0,127.0,134.0,Sub-Saharan Africa
122,Sierra Leone,123.0,111.0,106.0,113.0,129.0,Sub-Saharan Africa
123,Mauritania,124.0,130.0,123.0,126.0,122.0,Sub-Saharan Africa
124,Kenya,125.0,122.0,112.0,124.0,121.0,Sub-Saharan Africa
125,Djibouti,126.0,,,,,Sub-Saharan Africa
126,Armenia,127.0,121.0,121.0,129.0,116.0,Central and Eastern Europe
127,Botswana,128.0,137.0,142.0,146.0,148.0,Sub-Saharan Africa
128,Myanmar,129.0,119.0,114.0,130.0,131.0,Southeastern Asia
129,Georgia,130.0,126.0,125.0,128.0,119.0,Central and Eastern Europe
130,Malawi,131.0,132.0,136.0,147.0,150.0,Sub-Saharan Africa
131,Sri Lanka,132.0,117.0,120.0,116.0,130.0,Southern Asia
132,Cameroon,133.0,114.0,107.0,99.0,96.0,Sub-Saharan Africa
133,Bulgaria,134.0,129.0,105.0,100.0,97.0,Central and Eastern Europe
134,Egypt,135.0,120.0,104.0,122.0,137.0,Middle East and Northern Africa
135,Yemen,136.0,147.0,146.0,152.0,151.0,Middle East and Northern Africa
136,Angola,137.0,141.0,140.0,142.0,,Sub-Saharan Africa
137,Mali,138.0,135.0,127.0,118.0,128.0,Sub-Saharan Africa
138,Congo (Brazzaville),139.0,127.0,124.0,114.0,103.0,Sub-Saharan Africa
139,Comoros,140.0,138.0,,,142.0,Sub-Saharan Africa
140,Uganda,141.0,145.0,133.0,135.0,136.0,Sub-Saharan Africa
141,Senegal,142.0,128.0,115.0,109.0,111.0,Sub-Saharan Africa
142,Gabon,143.0,134.0,118.0,103.0,104.0,Sub-Saharan Africa
143,Niger,144.0,142.0,135.0,134.0,114.0,Sub-Saharan Africa
144,Cambodia,145.0,140.0,129.0,120.0,109.0,Southeastern Asia
145,Tanzania,146.0,149.0,153.0,153.0,153.0,Sub-Saharan Africa
146,Madagascar,147.0,148.0,144.0,143.0,143.0,Sub-Saharan Africa
147,Central African Republic,148.0,,155.0,155.0,155.0,Sub-Saharan Africa
148,Chad,149.0,144.0,137.0,131.0,132.0,Sub-Saharan Africa
149,Guinea,150.0,151.0,149.0,140.0,118.0,Sub-Saharan Africa
150,Ivory Coast,151.0,139.0,128.0,107.0,99.0,Sub-Saharan Africa
151,Burkina Faso,152.0,145.0,134.0,121.0,115.0,Sub-Saharan Africa
152,Afghanistan,153.0,154.0,141.0,145.0,154.0,Southern Asia
153,Rwanda,154.0,152.0,151.0,151.0,152.0,Sub-Saharan Africa
154,Benin,155.0,153.0,143.0,136.0,102.0,Sub-Saharan Africa
155,Syria,156.0,156.0,152.0,150.0,149.0,Middle East and Northern Africa
156,Burundi,157.0,157.0,154.0,156.0,145.0,Sub-Saharan Africa
157,Togo,158.0,155.0,150.0,139.0,139.0,Sub-Saharan Africa
158,Puerto Rico,,15.0,,,,Latin America and Caribbean
159,Belize,,52.0,50.0,49.0,,Latin America and Caribbean
160,Somalia,,76.0,93.0,98.0,112.0,Sub-Saharan Africa
161,Namibia,,113.0,111.0,119.0,113.0,Sub-Saharan Africa
162,South Sudan,,143.0,147.0,154.0,156.0,Sub-Saharan Africa
163,Gambia,,,,,120.0,Middle East and Northern Africa
